😀	face-smiling/grinning-face
🎸	musical-instrument/guitar
🎹	musical-instrument/musical-keyboard
🎺	musical-instrument/trumpet
🎻	musical-instrument/violin
🪕	musical-instrument/banjo
🥁	musical-instrument/drum
🪘	musical-instrument/long-drum
🪇	musical-instrument/maracas
🪈	musical-instrument/flute
🪉	musical-instrument/harp
📱	phone/mobile-phone
📲	phone/mobile-phone-with-arrow
☎️	phone/telephone
☎	phone/telephone
📞	phone/telephone-receiver
📟	phone/pager
📠	phone/fax-machine
🔋	computer/battery
🪫	computer/low-battery
🔌	computer/electric-plug
💻	computer/laptop
🖥️	computer/desktop-computer
🖥	computer/desktop-computer
🖨️	computer/printer
🖨	computer/printer
⌨️	computer/keyboard
⌨	computer/keyboard
🖱️	computer/computer-mouse
🖱	computer/computer-mouse
🖲️	computer/trackball
🖲	computer/trackball
💽	computer/computer-disk
💾	computer/floppy-disk
💿	computer/optical-disk
📀	computer/dvd
🧮	computer/abacus
🎥	light-&-video/movie-camera
🎞️	light-&-video/film-frames
🎞	light-&-video/film-frames
📽️	light-&-video/film-projector
📽	light-&-video/film-projector
🎬	light-&-video/clapper-board
📺	light-&-video/television
📷	light-&-video/camera
📸	light-&-video/camera-with-flash
📹	light-&-video/video-camera
📼	light-&-video/videocassette
🔍	light-&-video/magnifying-glass-tilted-left
🔎	light-&-video/magnifying-glass-tilted-right
🕯️	light-&-video/candle
🕯	light-&-video/candle
💡	light-&-video/light-bulb
🔦	light-&-video/flashlight
🏮	light-&-video/red-paper-lantern
🪔	light-&-video/diya-lamp
📔	book-paper/notebook-with-decorative-cover
📕	book-paper/closed-book
📖	book-paper/open-book
📗	book-paper/green-book
📘	book-paper/blue-book
📙	book-paper/orange-book
📚	book-paper/books
📓	book-paper/notebook
📒	book-paper/ledger
📃	book-paper/page-with-curl
📜	book-paper/scroll
📄	book-paper/page-facing-up
📰	book-paper/newspaper
🗞️	book-paper/rolled-up-newspaper
🗞	book-paper/rolled-up-newspaper
📑	book-paper/bookmark-tabs
🔖	book-paper/bookmark
🏷️	book-paper/label
🏷	book-paper/label
💰	money/money-bag
🪙	money/coin
💴	money/yen-banknote
💵	money/dollar-banknote
💶	money/euro-banknote
💷	money/pound-banknote
💸	money/money-with-wings
💳	money/credit-card
🧾	money/receipt
💹	money/chart-increasing-with-yen
✉️	mail/envelope
✉	mail/envelope
📧	mail/e-mail
📨	mail/incoming-envelope
📩	mail/envelope-with-arrow
📤	mail/outbox-tray
📥	mail/inbox-tray
📦	mail/package
📫	mail/closed-mailbox-with-raised-flag
📪	mail/closed-mailbox-with-lowered-flag
📬	mail/open-mailbox-with-raised-flag
📭	mail/open-mailbox-with-lowered-flag
📮	mail/postbox
🗳️	mail/ballot-box-with-ballot
🗳	mail/ballot-box-with-ballot
✏️	writing/pencil
✏	writing/pencil
✒️	writing/black-nib
✒	writing/black-nib
🖋️	writing/fountain-pen
🖋	writing/fountain-pen
🖊️	writing/pen
🖊	writing/pen
🖌️	writing/paintbrush
🖌	writing/paintbrush
🖍️	writing/crayon
🖍	writing/crayon
📝	writing/memo
💼	office/briefcase
📁	office/file-folder
📂	office/open-file-folder
🗂️	office/card-index-dividers
🗂	office/card-index-dividers
📅	office/calendar
📆	office/tear-off-calendar
🗒️	office/spiral-notepad
🗒	office/spiral-notepad
🗓️	office/spiral-calendar
🗓	office/spiral-calendar
📇	office/card-index
📈	office/chart-increasing
📉	office/chart-decreasing
📊	office/bar-chart
📋	office/clipboard
📌	office/pushpin
📍	office/round-pushpin
📎	office/paperclip
🖇️	office/linked-paperclips
🖇	office/linked-paperclips
📏	office/straight-ruler
📐	office/triangular-ruler
✂️	office/scissors
✂	office/scissors
🗃️	office/card-file-box
🗃	office/card-file-box
🗄️	office/file-cabinet
🗄	office/file-cabinet
🗑️	office/wastebasket
🗑	office/wastebasket
🔒	lock/locked
🔓	lock/unlocked
🔏	lock/locked-with-pen
🔐	lock/locked-with-key
🔑	lock/key
🗝️	lock/old-key
🗝	lock/old-key
🔨	tool/hammer
🪓	tool/axe
⛏️	tool/pick
⛏	tool/pick
⚒️	tool/hammer-and-pick
⚒	tool/hammer-and-pick
🛠️	tool/hammer-and-wrench
🛠	tool/hammer-and-wrench
🗡️	tool/dagger
🗡	tool/dagger
⚔️	tool/crossed-swords
⚔	tool/crossed-swords
💣	tool/bomb
🪃	tool/boomerang
🏹	tool/bow-and-arrow
🛡️	tool/shield
🛡	tool/shield
🪚	tool/carpentry-saw
🔧	tool/wrench
🪛	tool/screwdriver
🔩	tool/nut-and-bolt
⚙️	tool/gear
⚙	tool/gear
🗜️	tool/clamp
🗜	tool/clamp
⚖️	tool/balance-scale
⚖	tool/balance-scale
🦯	tool/white-cane
🔗	tool/link
⛓️‍💥	tool/broken-chain
⛓‍💥	tool/broken-chain
⛓️	tool/chains
⛓	tool/chains
🪝	tool/hook
🧰	tool/toolbox
🧲	tool/magnet
🪜	tool/ladder
🪏	tool/shovel
⚗️	science/alembic
⚗	science/alembic
🧪	science/test-tube
🧫	science/petri-dish
🧬	science/dna
🔬	science/microscope
🔭	science/telescope
📡	science/satellite-antenna
💉	medical/syringe
🩸	medical/drop-of-blood
💊	medical/pill
🩹	medical/adhesive-bandage
🩼	medical/crutch
🩺	medical/stethoscope
🩻	medical/x-ray
🚪	household/door
🛗	household/elevator
🪞	household/mirror
🪟	household/window
🛏️	household/bed
🛏	household/bed
🛋️	household/couch-and-lamp
🛋	household/couch-and-lamp
🪑	household/chair
🚽	household/toilet
🪠	household/plunger
🚿	household/shower
🛁	household/bathtub
🪤	household/mouse-trap
🪒	household/razor
🧴	household/lotion-bottle
🧷	household/safety-pin
🧹	household/broom
🧺	household/basket
🧻	household/roll-of-paper
🪣	household/bucket
🧼	household/soap
🫧	household/bubbles
🪥	household/toothbrush
🧽	household/sponge
🧯	household/fire-extinguisher
🛒	household/shopping-cart
🚬	other-object/cigarette
⚰️	other-object/coffin
⚰	other-object/coffin
🪦	other-object/headstone
⚱️	other-object/funeral-urn
⚱	other-object/funeral-urn
🧿	other-object/nazar-amulet
🪬	other-object/hamsa
🗿	other-object/moai
🪧	other-object/placard
🪪	other-object/identification-card
🏧	transport-sign/ATM-sign
🚮	transport-sign/litter-in-bin-sign
🚰	transport-sign/potable-water
♿	transport-sign/wheelchair-symbol
🚹	transport-sign/men’s-room
🚺	transport-sign/women’s-room
🚻	transport-sign/restroom
🚼	transport-sign/baby-symbol
🚾	transport-sign/water-closet
🛂	transport-sign/passport-control
🛃	transport-sign/customs
🛄	transport-sign/baggage-claim
🛅	transport-sign/left-luggage
⚠️	warning/warning
⚠	warning/warning
🚸	warning/children-crossing
⛔	warning/no-entry
🚫	warning/prohibited
🚳	warning/no-bicycles
🚭	warning/no-smoking
🚯	warning/no-littering
🚱	warning/non-potable-water
🚷	warning/no-pedestrians
📵	warning/no-mobile-phones
🔞	warning/no-one-under-eighteen
☢️	warning/radioactive
☢	warning/radioactive
☣️	warning/biohazard
☣	warning/biohazard
⬆️	arrow/up-arrow
⬆	arrow/up-arrow
↗️	arrow/up-right-arrow
↗	arrow/up-right-arrow
➡️	arrow/right-arrow
➡	arrow/right-arrow
↘️	arrow/down-right-arrow
↘	arrow/down-right-arrow
⬇️	arrow/down-arrow
⬇	arrow/down-arrow
↙️	arrow/down-left-arrow
↙	arrow/down-left-arrow
⬅️	arrow/left-arrow
⬅	arrow/left-arrow
↖️	arrow/up-left-arrow
↖	arrow/up-left-arrow
↕️	arrow/up-down-arrow
↕	arrow/up-down-arrow
↔️	arrow/left-right-arrow
↔	arrow/left-right-arrow
↩️	arrow/right-arrow-curving-left
↩	arrow/right-arrow-curving-left
↪️	arrow/left-arrow-curving-right
↪	arrow/left-arrow-curving-right
⤴️	arrow/right-arrow-curving-up
⤴	arrow/right-arrow-curving-up
⤵️	arrow/right-arrow-curving-down
⤵	arrow/right-arrow-curving-down
🔃	arrow/clockwise-vertical-arrows
🔄	arrow/counterclockwise-arrows-button
🔙	arrow/BACK-arrow
🔚	arrow/END-arrow
🔛	arrow/ON!-arrow
🔜	arrow/SOON-arrow
🔝	arrow/TOP-arrow
🛐	religion/place-of-worship
⚛️	religion/atom-symbol
⚛	religion/atom-symbol
🕉️	religion/om
🕉	religion/om
✡️	religion/star-of-David
✡	religion/star-of-David
☸️	religion/wheel-of-dharma
☸	religion/wheel-of-dharma
☯️	religion/yin-yang
☯	religion/yin-yang
✝️	religion/latin-cross
✝	religion/latin-cross
☦️	religion/orthodox-cross
☦	religion/orthodox-cross
☪️	religion/star-and-crescent
☪	religion/star-and-crescent
☮️	religion/peace-symbol
☮	religion/peace-symbol
🕎	religion/menorah
🔯	religion/dotted-six-pointed-star
🪯	religion/khanda
♈	zodiac/Aries
♉	zodiac/Taurus
♊	zodiac/Gemini
♋	zodiac/Cancer
♌	zodiac/Leo
♍	zodiac/Virgo
♎	zodiac/Libra
♏	zodiac/Scorpio
♐	zodiac/Sagittarius
♑	zodiac/Capricorn
♒	zodiac/Aquarius
♓	zodiac/Pisces
⛎	zodiac/Ophiuchus
🔀	av-symbol/shuffle-tracks-button
🔁	av-symbol/repeat-button
🔂	av-symbol/repeat-single-button
▶️	av-symbol/play-button
▶	av-symbol/play-button
⏩	av-symbol/fast-forward-button
⏭️	av-symbol/next-track-button
⏭	av-symbol/next-track-button
⏯️	av-symbol/play-or-pause-button
⏯	av-symbol/play-or-pause-button
◀️	av-symbol/reverse-button
◀	av-symbol/reverse-button
⏪	av-symbol/fast-reverse-button
⏮️	av-symbol/last-track-button
⏮	av-symbol/last-track-button
🔼	av-symbol/upwards-button
⏫	av-symbol/fast-up-button
🔽	av-symbol/downwards-button
⏬	av-symbol/fast-down-button
⏸️	av-symbol/pause-button
⏸	av-symbol/pause-button
⏹️	av-symbol/stop-button
⏹	av-symbol/stop-button
⏺️	av-symbol/record-button
⏺	av-symbol/record-button
⏏️	av-symbol/eject-button
⏏	av-symbol/eject-button
🎦	av-symbol/cinema
🔅	av-symbol/dim-button
🔆	av-symbol/bright-button
📶	av-symbol/antenna-bars
🛜	av-symbol/wireless
📳	av-symbol/vibration-mode
📴	av-symbol/mobile-phone-off
♀️	gender/female-sign
♀	gender/female-sign
♂️	gender/male-sign
♂	gender/male-sign
⚧️	gender/transgender-symbol
⚧	gender/transgender-symbol
✖️	math/multiply
✖	math/multiply
➕	math/plus
➖	math/minus
➗	math/divide
🟰	math/heavy-equals-sign
♾️	math/infinity
♾	math/infinity
‼️	punctuation/double-exclamation-mark
‼	punctuation/double-exclamation-mark
⁉️	punctuation/exclamation-question-mark
⁉	punctuation/exclamation-question-mark
❓	punctuation/red-question-mark
❔	punctuation/white-question-mark
❕	punctuation/white-exclamation-mark
❗	punctuation/red-exclamation-mark
〰️	punctuation/wavy-dash
〰	punctuation/wavy-dash
💱	currency/currency-exchange
💲	currency/heavy-dollar-sign
⚕️	other-symbol/medical-symbol
⚕	other-symbol/medical-symbol
♻️	other-symbol/recycling-symbol
♻	other-symbol/recycling-symbol
⚜️	other-symbol/fleur-de-lis
⚜	other-symbol/fleur-de-lis
🔱	other-symbol/trident-emblem
📛	other-symbol/name-badge
🔰	other-symbol/Japanese-symbol-for-beginner
⭕	other-symbol/hollow-red-circle
✅	other-symbol/check-mark-button
☑️	other-symbol/check-box-with-check
☑	other-symbol/check-box-with-check
✔️	other-symbol/check-mark
✔	other-symbol/check-mark
❌	other-symbol/cross-mark
❎	other-symbol/cross-mark-button
➰	other-symbol/curly-loop
➿	other-symbol/double-curly-loop
〽️	other-symbol/part-alternation-mark
〽	other-symbol/part-alternation-mark
✳️	other-symbol/eight-spoked-asterisk
✳	other-symbol/eight-spoked-asterisk
✴️	other-symbol/eight-pointed-star
✴	other-symbol/eight-pointed-star
❇️	other-symbol/sparkle
❇	other-symbol/sparkle
©️	other-symbol/copyright
©	other-symbol/copyright
®️	other-symbol/registered
®	other-symbol/registered
™️	other-symbol/trade-mark
™	other-symbol/trade-mark
🫟	other-symbol/splatter
#️⃣	keycap/keycap-#
#⃣	keycap/keycap-#
*️⃣	keycap/keycap-*
*⃣	keycap/keycap-*
0️⃣	keycap/keycap-0
0⃣	keycap/keycap-0
1️⃣	keycap/keycap-1
1⃣	keycap/keycap-1
2️⃣	keycap/keycap-2
2⃣	keycap/keycap-2
3️⃣	keycap/keycap-3
3⃣	keycap/keycap-3
4️⃣	keycap/keycap-4
4⃣	keycap/keycap-4
5️⃣	keycap/keycap-5
5⃣	keycap/keycap-5
6️⃣	keycap/keycap-6
6⃣	keycap/keycap-6
7️⃣	keycap/keycap-7
7⃣	keycap/keycap-7
8️⃣	keycap/keycap-8
8⃣	keycap/keycap-8
9️⃣	keycap/keycap-9
9⃣	keycap/keycap-9
🔟	keycap/keycap-10
🔠	alphanum/input-latin-uppercase
🔡	alphanum/input-latin-lowercase
🔢	alphanum/input-numbers
🔣	alphanum/input-symbols
🔤	alphanum/input-latin-letters
🅰️	alphanum/A-button-blood-type
🅰	alphanum/A-button-blood-type
🆎	alphanum/AB-button-blood-type
🅱️	alphanum/B-button-blood-type
🅱	alphanum/B-button-blood-type
🆑	alphanum/CL-button
🆒	alphanum/COOL-button
🆓	alphanum/FREE-button
ℹ️	alphanum/information
ℹ	alphanum/information
🆔	alphanum/ID-button
Ⓜ️	alphanum/circled-M
Ⓜ	alphanum/circled-M
🆕	alphanum/NEW-button
🆖	alphanum/NG-button
🅾️	alphanum/O-button-blood-type
🅾	alphanum/O-button-blood-type
🆗	alphanum/OK-button
🅿️	alphanum/P-button
🅿	alphanum/P-button
🆘	alphanum/SOS-button
🆙	alphanum/UP!-button
🆚	alphanum/VS-button
🈁	alphanum/Japanese-here-button
🈂️	alphanum/Japanese-service-charge-button
🈂	alphanum/Japanese-service-charge-button
🈷️	alphanum/Japanese-monthly-amount-button
🈷	alphanum/Japanese-monthly-amount-button
🈶	alphanum/Japanese-not-free-of-charge-button
🈯	alphanum/Japanese-reserved-button
🉐	alphanum/Japanese-bargain-button
🈹	alphanum/Japanese-discount-button
🈚	alphanum/Japanese-free-of-charge-button
🈲	alphanum/Japanese-prohibited-button
🉑	alphanum/Japanese-acceptable-button
🈸	alphanum/Japanese-application-button
🈴	alphanum/Japanese-passing-grade-button
🈳	alphanum/Japanese-vacancy-button
㊗️	alphanum/Japanese-congratulations-button
㊗	alphanum/Japanese-congratulations-button
㊙️	alphanum/Japanese-secret-button
㊙	alphanum/Japanese-secret-button
🈺	alphanum/Japanese-open-for-business-button
🈵	alphanum/Japanese-no-vacancy-button
🔴	geometric/red-circle
🟠	geometric/orange-circle
🟡	geometric/yellow-circle
🟢	geometric/green-circle
🔵	geometric/blue-circle
🟣	geometric/purple-circle
🟤	geometric/brown-circle
⚫	geometric/black-circle
⚪	geometric/white-circle
🟥	geometric/red-square
🟧	geometric/orange-square
🟨	geometric/yellow-square
🟩	geometric/green-square
🟦	geometric/blue-square
🟪	geometric/purple-square
🟫	geometric/brown-square
⬛	geometric/black-large-square
⬜	geometric/white-large-square
◼️	geometric/black-medium-square
◼	geometric/black-medium-square
◻️	geometric/white-medium-square
◻	geometric/white-medium-square
◾	geometric/black-medium-small-square
◽	geometric/white-medium-small-square
▪️	geometric/black-small-square
▪	geometric/black-small-square
▫️	geometric/white-small-square
▫	geometric/white-small-square
🔶	geometric/large-orange-diamond
🔷	geometric/large-blue-diamond
🔸	geometric/small-orange-diamond
🔹	geometric/small-blue-diamond
🔺	geometric/red-triangle-pointed-up
🔻	geometric/red-triangle-pointed-down
💠	geometric/diamond-with-a-dot
🔘	geometric/radio-button
🔳	geometric/white-square-button
🔲	geometric/black-square-button
🏁	flag/chequered-flag
🚩	flag/triangular-flag
🎌	flag/crossed-flags
🏴	flag/black-flag
🏳️	flag/white-flag
🏳	flag/white-flag
🏳️‍🌈	flag/rainbow-flag
🏳‍🌈	flag/rainbow-flag
🏳️‍⚧️	flag/transgender-flag
🏳‍⚧️	flag/transgender-flag
🏳️‍⚧	flag/transgender-flag
🏳‍⚧	flag/transgender-flag
🏴‍☠️	flag/pirate-flag
🏴‍☠	flag/pirate-flag
🇦🇨	country-flag/flag-Ascension-Island
🇦🇩	country-flag/flag-Andorra
🇦🇪	country-flag/flag-United-Arab-Emirates
🇦🇫	country-flag/flag-Afghanistan
🇦🇬	country-flag/flag-Antigua-and-Barbuda
🇦🇮	country-flag/flag-Anguilla
🇦🇱	country-flag/flag-Albania
🇦🇲	country-flag/flag-Armenia
🇦🇴	country-flag/flag-Angola
🇦🇶	country-flag/flag-Antarctica
🇦🇷	country-flag/flag-Argentina
🇦🇸	country-flag/flag-American-Samoa
🇦🇹	country-flag/flag-Austria
🇦🇺	country-flag/flag-Australia
🇦🇼	country-flag/flag-Aruba
🇦🇽	country-flag/flag-Åland-Islands
🇦🇿	country-flag/flag-Azerbaijan
🇧🇦	country-flag/flag-Bosnia-and-Herzegovina
🇧🇧	country-flag/flag-Barbados
🇧🇩	country-flag/flag-Bangladesh
🇧🇪	country-flag/flag-Belgium
🇧🇫	country-flag/flag-Burkina-Faso
🇧🇬	country-flag/flag-Bulgaria
🇧🇭	country-flag/flag-Bahrain
🇧🇮	country-flag/flag-Burundi
🇧🇯	country-flag/flag-Benin
🇧🇱	country-flag/flag-St-Barthélemy
🇧🇲	country-flag/flag-Bermuda
🇧🇳	country-flag/flag-Brunei
🇧🇴	country-flag/flag-Bolivia
🇧🇶	country-flag/flag-Caribbean-Netherlands
🇧🇷	country-flag/flag-Brazil
🇧🇸	country-flag/flag-Bahamas
🇧🇹	country-flag/flag-Bhutan
🇧🇻	country-flag/flag-Bouvet-Island
🇧🇼	country-flag/flag-Botswana
🇧🇾	country-flag/flag-Belarus
🇧🇿	country-flag/flag-Belize
🇨🇦	country-flag/flag-Canada
🇨🇨	country-flag/flag-Cocos-Keeling-Islands
🇨🇩	country-flag/flag-Congo-Kinshasa
🇨🇫	country-flag/flag-Central-African-Republic
🇨🇬	country-flag/flag-Congo-Brazzaville
🇨🇭	country-flag/flag-Switzerland
🇨🇮	country-flag/flag-Côte-d’Ivoire
🇨🇰	country-flag/flag-Cook-Islands
🇨🇱	country-flag/flag-Chile
🇨🇲	country-flag/flag-Cameroon
🇨🇳	country-flag/flag-China
🇨🇴	country-flag/flag-Colombia
🇨🇵	country-flag/flag-Clipperton-Island
🇨🇶	country-flag/flag-Sark
🇨🇷	country-flag/flag-Costa-Rica
🇨🇺	country-flag/flag-Cuba
🇨🇻	country-flag/flag-Cape-Verde
🇨🇼	country-flag/flag-Curaçao
🇨🇽	country-flag/flag-Christmas-Island
🇨🇾	country-flag/flag-Cyprus
🇨🇿	country-flag/flag-Czechia
🇩🇪	country-flag/flag-Germany
🇩🇬	country-flag/flag-Diego-Garcia
🇩🇯	country-flag/flag-Djibouti
🇩🇰	country-flag/flag-Denmark
🇩🇲	country-flag/flag-Dominica
🇩🇴	country-flag/flag-Dominican-Republic
🇩🇿	country-flag/flag-Algeria
🇪🇦	country-flag/flag-Ceuta-and-Melilla
🇪🇨	country-flag/flag-Ecuador
🇪🇪	country-flag/flag-Estonia
🇪🇬	country-flag/flag-Egypt
🇪🇭	country-flag/flag-Western-Sahara
🇪🇷	country-flag/flag-Eritrea
🇪🇸	country-flag/flag-Spain
🇪🇹	country-flag/flag-Ethiopia
🇪🇺	country-flag/flag-European-Union
🇫🇮	country-flag/flag-Finland
🇫🇯	country-flag/flag-Fiji
